,source,target,dagLevel
0,MV1_T1_MV_Type_ID_num,MV1_LmvPF,2.0
1,MV1_T1_MV_Type_ID_num,MV1_DmvMax,2.0
2,MV1_T1_MV_Type_ID_num,MV1_DmvMin,2.0
3,MV1_T1_MV_Type_ID_num,MV1_Emv,2.0
4,MV1_T1_MV_Type_ID_num,MV1_AleakMV_raw,2.0
5,MV1_T1_MV_Type_ID_num,MV1_T1_MV_Supplier_ID_num,2.0
6,MV1_T1_MV_Supplier_ID_num,MV1_LmvPF,2.0
7,MV1_T1_MV_Supplier_ID_num,MV1_DmvMax,2.0
8,MV1_T1_MV_Supplier_ID_num,MV1_DmvMin,2.0
9,MV1_T1_MV_Supplier_ID_num,MV1_Emv,2.0
10,MV1_T1_MV_Supplier_ID_num,MV1_AleakMV_raw,2.0
11,MV1_LmvPF,PF_M1_T1_Force,
12,MV1_DmvMax,PF_M1_T1_deltaD_max,
13,MV1_DmvMin,PF_M1_T1_deltaD_min,
14,MV1_Emv,PF_M1_T1_E_eff_inv,
15,MV1_AleakMV_raw,MV1_AleakMV,
16,MV1_AleakMV,PF_M1_T1_AleakBore,
17,MV1_AleakMV,HU_Ch1_T1_AleakMV,
18,MV2_T2_MV_Type_ID_num,MV2_LmvPF,2.0
19,MV2_T2_MV_Type_ID_num,MV2_DmvMax,2.0
20,MV2_T2_MV_Type_ID_num,MV2_DmvMin,2.0
21,MV2_T2_MV_Type_ID_num,MV2_Emv,2.0
22,MV2_T2_MV_Type_ID_num,MV2_AleakMV_raw,2.0
23,MV2_T2_MV_Type_ID_num,MV2_T2_MV_Supplier_ID_num,2.0
24,MV2_T2_MV_Supplier_ID_num,MV2_LmvPF,2.0
25,MV2_T2_MV_Supplier_ID_num,MV2_DmvMax,2.0
26,MV2_T2_MV_Supplier_ID_num,MV2_DmvMin,2.0
27,MV2_T2_MV_Supplier_ID_num,MV2_Emv,2.0
28,MV2_T2_MV_Supplier_ID_num,MV2_AleakMV_raw,2.0
29,MV2_LmvPF,PF_M1_T2_Force,
30,MV2_DmvMax,PF_M1_T2_deltaD_max,
31,MV2_DmvMin,PF_M1_T2_deltaD_min,
32,MV2_Emv,PF_M1_T2_E_eff_inv,
33,MV2_AleakMV_raw,MV2_AleakMV,
34,MV2_AleakMV,PF_M1_T2_AleakBore,
35,MV2_AleakMV,HU_Ch1_T2_AleakMV,
36,MV3_T3_MV_Type_ID_num,MV3_LmvPF,2.0
37,MV3_T3_MV_Type_ID_num,MV3_DmvMax,2.0
38,MV3_T3_MV_Type_ID_num,MV3_DmvMin,2.0
39,MV3_T3_MV_Type_ID_num,MV3_Emv,2.0
40,MV3_T3_MV_Type_ID_num,MV3_AleakMV_raw,2.0
41,MV3_T3_MV_Type_ID_num,MV3_T3_MV_Supplier_ID_num,2.0
42,MV3_T3_MV_Supplier_ID_num,MV3_LmvPF,2.0
43,MV3_T3_MV_Supplier_ID_num,MV3_DmvMax,2.0
44,MV3_T3_MV_Supplier_ID_num,MV3_DmvMin,2.0
45,MV3_T3_MV_Supplier_ID_num,MV3_Emv,2.0
46,MV3_T3_MV_Supplier_ID_num,MV3_AleakMV_raw,2.0
47,MV3_LmvPF,PF_M1_T3_Force,
48,MV3_DmvMax,PF_M1_T3_deltaD_max,
49,MV3_DmvMin,PF_M1_T3_deltaD_min,
50,MV3_Emv,PF_M1_T3_E_eff_inv,
51,MV3_AleakMV_raw,MV3_AleakMV,
52,MV3_AleakMV,PF_M1_T3_AleakBore,
53,MV3_AleakMV,HU_Ch2_T3_AleakMV,
54,MV4_T4_MV_Type_ID_num,MV4_LmvPF,2.0
55,MV4_T4_MV_Type_ID_num,MV4_DmvMax,2.0
56,MV4_T4_MV_Type_ID_num,MV4_DmvMin,2.0
57,MV4_T4_MV_Type_ID_num,MV4_Emv,2.0
58,MV4_T4_MV_Type_ID_num,MV4_AleakMV_raw,2.0
59,MV4_T4_MV_Type_ID_num,MV4_T4_MV_Supplier_ID_num,2.0
60,MV4_T4_MV_Supplier_ID_num,MV4_LmvPF,2.0
61,MV4_T4_MV_Supplier_ID_num,MV4_DmvMax,2.0
62,MV4_T4_MV_Supplier_ID_num,MV4_DmvMin,2.0
63,MV4_T4_MV_Supplier_ID_num,MV4_Emv,2.0
64,MV4_T4_MV_Supplier_ID_num,MV4_AleakMV_raw,2.0
65,MV4_LmvPF,PF_M1_T4_Force,
66,MV4_DmvMax,PF_M1_T4_deltaD_max,
67,MV4_DmvMin,PF_M1_T4_deltaD_min,
68,MV4_Emv,PF_M1_T4_E_eff_inv,
69,MV4_AleakMV_raw,MV4_AleakMV,
70,MV4_AleakMV,PF_M1_T4_AleakBore,
71,MV4_AleakMV,HU_Ch2_T4_AleakMV,
72,MV5_T5_MV_Type_ID_num,MV5_LmvPF,2.0
73,MV5_T5_MV_Type_ID_num,MV5_DmvMax,2.0
74,MV5_T5_MV_Type_ID_num,MV5_DmvMin,2.0
75,MV5_T5_MV_Type_ID_num,MV5_Emv,2.0
76,MV5_T5_MV_Type_ID_num,MV5_AleakMV_raw,2.0
77,MV5_T5_MV_Type_ID_num,MV5_T5_MV_Supplier_ID_num,2.0
78,MV5_T5_MV_Supplier_ID_num,MV5_LmvPF,2.0
79,MV5_T5_MV_Supplier_ID_num,MV5_DmvMax,2.0
80,MV5_T5_MV_Supplier_ID_num,MV5_DmvMin,2.0
81,MV5_T5_MV_Supplier_ID_num,MV5_Emv,2.0
82,MV5_T5_MV_Supplier_ID_num,MV5_AleakMV_raw,2.0
83,MV5_LmvPF,PF_M2_T5_Force,
84,MV5_DmvMax,PF_M2_T5_deltaD_max,
85,MV5_DmvMin,PF_M2_T5_deltaD_min,
86,MV5_Emv,PF_M2_T5_E_eff_inv,
87,MV5_AleakMV_raw,MV5_AleakMV,
88,MV5_AleakMV,PF_M2_T5_AleakBore,
89,MV5_AleakMV,HU_Ch3_T5_AleakMV,
90,MV6_T6_MV_Type_ID_num,MV6_LmvPF,2.0
91,MV6_T6_MV_Type_ID_num,MV6_DmvMax,2.0
92,MV6_T6_MV_Type_ID_num,MV6_DmvMin,2.0
93,MV6_T6_MV_Type_ID_num,MV6_Emv,2.0
94,MV6_T6_MV_Type_ID_num,MV6_AleakMV_raw,2.0
95,MV6_T6_MV_Type_ID_num,MV6_T6_MV_Supplier_ID_num,2.0
96,MV6_T6_MV_Supplier_ID_num,MV6_LmvPF,2.0
97,MV6_T6_MV_Supplier_ID_num,MV6_DmvMax,2.0
98,MV6_T6_MV_Supplier_ID_num,MV6_DmvMin,2.0
99,MV6_T6_MV_Supplier_ID_num,MV6_Emv,2.0
100,MV6_T6_MV_Supplier_ID_num,MV6_AleakMV_raw,2.0
101,MV6_LmvPF,PF_M2_T6_Force,
102,MV6_DmvMax,PF_M2_T6_deltaD_max,
103,MV6_DmvMin,PF_M2_T6_deltaD_min,
104,MV6_Emv,PF_M2_T6_E_eff_inv,
105,MV6_AleakMV_raw,MV6_AleakMV,
106,MV6_AleakMV,PF_M2_T6_AleakBore,
107,MV6_AleakMV,HU_Ch3_T6_AleakMV,
108,MV7_T7_MV_Type_ID_num,MV7_LmvPF,2.0
109,MV7_T7_MV_Type_ID_num,MV7_DmvMax,2.0
110,MV7_T7_MV_Type_ID_num,MV7_DmvMin,2.0
111,MV7_T7_MV_Type_ID_num,MV7_Emv,2.0
112,MV7_T7_MV_Type_ID_num,MV7_AleakMV_raw,2.0
113,MV7_T7_MV_Type_ID_num,MV7_T7_MV_Supplier_ID_num,2.0
114,MV7_T7_MV_Supplier_ID_num,MV7_LmvPF,2.0
115,MV7_T7_MV_Supplier_ID_num,MV7_DmvMax,2.0
116,MV7_T7_MV_Supplier_ID_num,MV7_DmvMin,2.0
117,MV7_T7_MV_Supplier_ID_num,MV7_Emv,2.0
118,MV7_T7_MV_Supplier_ID_num,MV7_AleakMV_raw,2.0
119,MV7_LmvPF,PF_M2_T7_Force,
120,MV7_DmvMax,PF_M2_T7_deltaD_max,
121,MV7_DmvMin,PF_M2_T7_deltaD_min,
122,MV7_Emv,PF_M2_T7_E_eff_inv,
123,MV7_AleakMV_raw,MV7_AleakMV,
124,MV7_AleakMV,PF_M2_T7_AleakBore,
125,MV7_AleakMV,HU_Ch4_T7_AleakMV,
126,MV8_T8_MV_Type_ID_num,MV8_LmvPF,2.0
127,MV8_T8_MV_Type_ID_num,MV8_DmvMax,2.0
128,MV8_T8_MV_Type_ID_num,MV8_DmvMin,2.0
129,MV8_T8_MV_Type_ID_num,MV8_Emv,2.0
130,MV8_T8_MV_Type_ID_num,MV8_AleakMV_raw,2.0
131,MV8_T8_MV_Type_ID_num,MV8_T8_MV_Supplier_ID_num,2.0
132,MV8_T8_MV_Supplier_ID_num,MV8_LmvPF,2.0
133,MV8_T8_MV_Supplier_ID_num,MV8_DmvMax,2.0
134,MV8_T8_MV_Supplier_ID_num,MV8_DmvMin,2.0
135,MV8_T8_MV_Supplier_ID_num,MV8_Emv,2.0
136,MV8_T8_MV_Supplier_ID_num,MV8_AleakMV_raw,2.0
137,MV8_LmvPF,PF_M2_T8_Force,
138,MV8_DmvMax,PF_M2_T8_deltaD_max,
139,MV8_DmvMin,PF_M2_T8_deltaD_min,
140,MV8_Emv,PF_M2_T8_E_eff_inv,
141,MV8_AleakMV_raw,MV8_AleakMV,
142,MV8_AleakMV,PF_M2_T8_AleakBore,
143,MV8_AleakMV,HU_Ch4_T8_AleakMV,
144,HU_HU_Block_Type_ID_num,HU_Ehu,2.0
145,HU_HU_Block_Type_ID_num,HU_Force_Lim_Deform,2.0
146,HU_HU_Block_Type_ID_num,HU_Ch1_HU_Block_Type_ID_num,2.0
147,HU_HU_Block_Type_ID_num,HU_Ch1_Vchamber,2.0
148,HU_HU_Block_Type_ID_num,HU_Ch1_Vchamber_part_REF,2.0
149,HU_HU_Block_Type_ID_num,HU_T1_BorePosition_ID_num,2.0
150,HU_HU_Block_Type_ID_num,HU_T1_DboreMax,2.0
151,HU_HU_Block_Type_ID_num,HU_T1_DboreMin,2.0
152,HU_HU_Block_Type_ID_num,HU_T2_BorePosition_ID_num,2.0
153,HU_HU_Block_Type_ID_num,HU_T2_DboreMax,2.0
154,HU_HU_Block_Type_ID_num,HU_T2_DboreMin,2.0
155,HU_HU_Block_Type_ID_num,HU_Ch2_HU_Block_Type_ID_num,2.0
156,HU_HU_Block_Type_ID_num,HU_Ch2_Vchamber,2.0
157,HU_HU_Block_Type_ID_num,HU_Ch2_Vchamber_part_REF,2.0
158,HU_HU_Block_Type_ID_num,HU_T3_BorePosition_ID_num,2.0
159,HU_HU_Block_Type_ID_num,HU_T3_DboreMax,2.0
160,HU_HU_Block_Type_ID_num,HU_T3_DboreMin,2.0
161,HU_HU_Block_Type_ID_num,HU_T4_BorePosition_ID_num,2.0
162,HU_HU_Block_Type_ID_num,HU_T4_DboreMax,2.0
163,HU_HU_Block_Type_ID_num,HU_T4_DboreMin,2.0
164,HU_HU_Block_Type_ID_num,HU_Ch3_HU_Block_Type_ID_num,2.0
165,HU_HU_Block_Type_ID_num,HU_Ch3_Vchamber,2.0
166,HU_HU_Block_Type_ID_num,HU_Ch3_Vchamber_part_REF,2.0
167,HU_HU_Block_Type_ID_num,HU_T5_BorePosition_ID_num,2.0
168,HU_HU_Block_Type_ID_num,HU_T5_DboreMax,2.0
169,HU_HU_Block_Type_ID_num,HU_T5_DboreMin,2.0
170,HU_HU_Block_Type_ID_num,HU_T6_BorePosition_ID_num,2.0
171,HU_HU_Block_Type_ID_num,HU_T6_DboreMax,2.0
172,HU_HU_Block_Type_ID_num,HU_T6_DboreMin,2.0
173,HU_HU_Block_Type_ID_num,HU_Ch4_HU_Block_Type_ID_num,2.0
174,HU_HU_Block_Type_ID_num,HU_Ch4_Vchamber,2.0
175,HU_HU_Block_Type_ID_num,HU_Ch4_Vchamber_part_REF,2.0
176,HU_HU_Block_Type_ID_num,HU_T7_BorePosition_ID_num,2.0
177,HU_HU_Block_Type_ID_num,HU_T7_DboreMax,2.0
178,HU_HU_Block_Type_ID_num,HU_T7_DboreMin,2.0
179,HU_HU_Block_Type_ID_num,HU_T8_BorePosition_ID_num,2.0
180,HU_HU_Block_Type_ID_num,HU_T8_DboreMax,2.0
181,HU_HU_Block_Type_ID_num,HU_T8_DboreMin,2.0
182,HU_HU_Block_Type_ID_num,HU_HU_Block_Supplier_ID_num,2.0
183,HU_HU_Block_Type_ID_num,PF_M1_T3_s0_LTL,2.0
184,HU_HU_Block_Type_ID_num,PF_M1_T3_s0_UTL,2.0
185,HU_HU_Block_Type_ID_num,PF_M1_T3_Force_LTL,2.0
186,HU_HU_Block_Type_ID_num,PF_M1_T3_Force_UTL,2.0
187,HU_HU_Block_Type_ID_num,PF_M1_T3_sgrad_LTL,2.0
188,HU_HU_Block_Type_ID_num,PF_M1_T3_sgrad_UTL,2.0
189,HU_HU_Block_Type_ID_num,PF_M1_T3_Fmax_LTL,2.0
190,HU_HU_Block_Type_ID_num,PF_M1_T3_Fmax_UTL,2.0
191,HU_HU_Block_Type_ID_num,PF_M1_T3_smax_LTL,2.0
192,HU_HU_Block_Type_ID_num,PF_M1_T3_smax_UTL,2.0
193,HU_HU_Block_Type_ID_num,PF_M1_T4_s0_LTL,2.0
194,HU_HU_Block_Type_ID_num,PF_M1_T4_s0_UTL,2.0
195,HU_HU_Block_Type_ID_num,PF_M1_T4_Force_LTL,2.0
196,HU_HU_Block_Type_ID_num,PF_M1_T4_Force_UTL,2.0
197,HU_HU_Block_Type_ID_num,PF_M1_T4_sgrad_LTL,2.0
198,HU_HU_Block_Type_ID_num,PF_M1_T4_sgrad_UTL,2.0
199,HU_HU_Block_Type_ID_num,PF_M1_T4_Fmax_LTL,2.0
200,HU_HU_Block_Type_ID_num,PF_M1_T4_Fmax_UTL,2.0
201,HU_HU_Block_Type_ID_num,PF_M1_T4_smax_LTL,2.0
202,HU_HU_Block_Type_ID_num,PF_M1_T4_smax_UTL,2.0
203,HU_HU_Block_Type_ID_num,PF_M1_T1_s0_LTL,2.0
204,HU_HU_Block_Type_ID_num,PF_M1_T1_s0_UTL,2.0
205,HU_HU_Block_Type_ID_num,PF_M1_T1_Force_LTL,2.0
206,HU_HU_Block_Type_ID_num,PF_M1_T1_Force_UTL,2.0
207,HU_HU_Block_Type_ID_num,PF_M1_T1_sgrad_LTL,2.0
208,HU_HU_Block_Type_ID_num,PF_M1_T1_sgrad_UTL,2.0
209,HU_HU_Block_Type_ID_num,PF_M1_T1_Fmax_LTL,2.0
210,HU_HU_Block_Type_ID_num,PF_M1_T1_Fmax_UTL,2.0
211,HU_HU_Block_Type_ID_num,PF_M1_T1_smax_LTL,2.0
212,HU_HU_Block_Type_ID_num,PF_M1_T1_smax_UTL,2.0
213,HU_HU_Block_Type_ID_num,PF_M1_T2_s0_LTL,2.0
214,HU_HU_Block_Type_ID_num,PF_M1_T2_s0_UTL,2.0
215,HU_HU_Block_Type_ID_num,PF_M1_T2_Force_LTL,2.0
216,HU_HU_Block_Type_ID_num,PF_M1_T2_Force_UTL,2.0
217,HU_HU_Block_Type_ID_num,PF_M1_T2_sgrad_LTL,2.0
218,HU_HU_Block_Type_ID_num,PF_M1_T2_sgrad_UTL,2.0
219,HU_HU_Block_Type_ID_num,PF_M1_T2_Fmax_LTL,2.0
220,HU_HU_Block_Type_ID_num,PF_M1_T2_Fmax_UTL,2.0
221,HU_HU_Block_Type_ID_num,PF_M1_T2_smax_LTL,2.0
222,HU_HU_Block_Type_ID_num,PF_M1_T2_smax_UTL,2.0
223,HU_HU_Block_Type_ID_num,PF_M2_T7_s0_LTL,2.0
224,HU_HU_Block_Type_ID_num,PF_M2_T7_s0_UTL,2.0
225,HU_HU_Block_Type_ID_num,PF_M2_T7_Force_LTL,2.0
226,HU_HU_Block_Type_ID_num,PF_M2_T7_Force_UTL,2.0
227,HU_HU_Block_Type_ID_num,PF_M2_T7_sgrad_LTL,2.0
228,HU_HU_Block_Type_ID_num,PF_M2_T7_sgrad_UTL,2.0
229,HU_HU_Block_Type_ID_num,PF_M2_T7_Fmax_LTL,2.0
230,HU_HU_Block_Type_ID_num,PF_M2_T7_Fmax_UTL,2.0
231,HU_HU_Block_Type_ID_num,PF_M2_T7_smax_LTL,2.0
232,HU_HU_Block_Type_ID_num,PF_M2_T7_smax_UTL,2.0
233,HU_HU_Block_Type_ID_num,PF_M2_T8_s0_LTL,2.0
234,HU_HU_Block_Type_ID_num,PF_M2_T8_s0_UTL,2.0
235,HU_HU_Block_Type_ID_num,PF_M2_T8_Force_LTL,2.0
236,HU_HU_Block_Type_ID_num,PF_M2_T8_Force_UTL,2.0
237,HU_HU_Block_Type_ID_num,PF_M2_T8_sgrad_LTL,2.0
238,HU_HU_Block_Type_ID_num,PF_M2_T8_sgrad_UTL,2.0
239,HU_HU_Block_Type_ID_num,PF_M2_T8_Fmax_LTL,2.0
240,HU_HU_Block_Type_ID_num,PF_M2_T8_Fmax_UTL,2.0
241,HU_HU_Block_Type_ID_num,PF_M2_T8_smax_LTL,2.0
242,HU_HU_Block_Type_ID_num,PF_M2_T8_smax_UTL,2.0
243,HU_HU_Block_Type_ID_num,PF_M2_T5_s0_LTL,2.0
244,HU_HU_Block_Type_ID_num,PF_M2_T5_s0_UTL,2.0
245,HU_HU_Block_Type_ID_num,PF_M2_T5_Force_LTL,2.0
246,HU_HU_Block_Type_ID_num,PF_M2_T5_Force_UTL,2.0
247,HU_HU_Block_Type_ID_num,PF_M2_T5_sgrad_LTL,2.0
248,HU_HU_Block_Type_ID_num,PF_M2_T5_sgrad_UTL,2.0
249,HU_HU_Block_Type_ID_num,PF_M2_T5_Fmax_LTL,2.0
250,HU_HU_Block_Type_ID_num,PF_M2_T5_Fmax_UTL,2.0
251,HU_HU_Block_Type_ID_num,PF_M2_T5_smax_LTL,2.0
252,HU_HU_Block_Type_ID_num,PF_M2_T5_smax_UTL,2.0
253,HU_HU_Block_Type_ID_num,PF_M2_T6_s0_LTL,2.0
254,HU_HU_Block_Type_ID_num,PF_M2_T6_s0_UTL,2.0
255,HU_HU_Block_Type_ID_num,PF_M2_T6_Force_LTL,2.0
256,HU_HU_Block_Type_ID_num,PF_M2_T6_Force_UTL,2.0
257,HU_HU_Block_Type_ID_num,PF_M2_T6_sgrad_LTL,2.0
258,HU_HU_Block_Type_ID_num,PF_M2_T6_sgrad_UTL,2.0
259,HU_HU_Block_Type_ID_num,PF_M2_T6_Fmax_LTL,2.0
260,HU_HU_Block_Type_ID_num,PF_M2_T6_Fmax_UTL,2.0
261,HU_HU_Block_Type_ID_num,PF_M2_T6_smax_LTL,2.0
262,HU_HU_Block_Type_ID_num,PF_M2_T6_smax_UTL,2.0
263,HU_HU_Block_Supplier_ID_num,HU_Ehu,2.0
264,HU_HU_Block_Supplier_ID_num,HU_Force_Lim_Deform,2.0
265,HU_HU_Block_Supplier_ID_num,HU_Ch1_HU_Block_Type_ID_num,2.0
266,HU_HU_Block_Supplier_ID_num,HU_Ch1_Vchamber,2.0
267,HU_HU_Block_Supplier_ID_num,HU_Ch1_Vchamber_part_REF,2.0
268,HU_HU_Block_Supplier_ID_num,HU_T1_BorePosition_ID_num,2.0
269,HU_HU_Block_Supplier_ID_num,HU_T1_DboreMax,2.0
270,HU_HU_Block_Supplier_ID_num,HU_T1_DboreMin,2.0
271,HU_HU_Block_Supplier_ID_num,HU_T2_BorePosition_ID_num,2.0
272,HU_HU_Block_Supplier_ID_num,HU_T2_DboreMax,2.0
273,HU_HU_Block_Supplier_ID_num,HU_T2_DboreMin,2.0
274,HU_HU_Block_Supplier_ID_num,HU_Ch2_HU_Block_Type_ID_num,2.0
275,HU_HU_Block_Supplier_ID_num,HU_Ch2_Vchamber,2.0
276,HU_HU_Block_Supplier_ID_num,HU_Ch2_Vchamber_part_REF,2.0
277,HU_HU_Block_Supplier_ID_num,HU_T3_BorePosition_ID_num,2.0
278,HU_HU_Block_Supplier_ID_num,HU_T3_DboreMax,2.0
279,HU_HU_Block_Supplier_ID_num,HU_T3_DboreMin,2.0
280,HU_HU_Block_Supplier_ID_num,HU_T4_BorePosition_ID_num,2.0
281,HU_HU_Block_Supplier_ID_num,HU_T4_DboreMax,2.0
282,HU_HU_Block_Supplier_ID_num,HU_T4_DboreMin,2.0
283,HU_HU_Block_Supplier_ID_num,HU_Ch3_HU_Block_Type_ID_num,2.0
284,HU_HU_Block_Supplier_ID_num,HU_Ch3_Vchamber,2.0
285,HU_HU_Block_Supplier_ID_num,HU_Ch3_Vchamber_part_REF,2.0
286,HU_HU_Block_Supplier_ID_num,HU_T5_BorePosition_ID_num,2.0
287,HU_HU_Block_Supplier_ID_num,HU_T5_DboreMax,2.0
288,HU_HU_Block_Supplier_ID_num,HU_T5_DboreMin,2.0
289,HU_HU_Block_Supplier_ID_num,HU_T6_BorePosition_ID_num,2.0
290,HU_HU_Block_Supplier_ID_num,HU_T6_DboreMax,2.0
291,HU_HU_Block_Supplier_ID_num,HU_T6_DboreMin,2.0
292,HU_HU_Block_Supplier_ID_num,HU_Ch4_HU_Block_Type_ID_num,2.0
293,HU_HU_Block_Supplier_ID_num,HU_Ch4_Vchamber,2.0
294,HU_HU_Block_Supplier_ID_num,HU_Ch4_Vchamber_part_REF,2.0
295,HU_HU_Block_Supplier_ID_num,HU_T7_BorePosition_ID_num,2.0
296,HU_HU_Block_Supplier_ID_num,HU_T7_DboreMax,2.0
297,HU_HU_Block_Supplier_ID_num,HU_T7_DboreMin,2.0
298,HU_HU_Block_Supplier_ID_num,HU_T8_BorePosition_ID_num,2.0
299,HU_HU_Block_Supplier_ID_num,HU_T8_DboreMax,2.0
300,HU_HU_Block_Supplier_ID_num,HU_T8_DboreMin,2.0
301,HU_Ehu,PF_M1_T3_E_eff_inv,
302,HU_Ehu,PF_M1_T4_E_eff_inv,
303,HU_Ehu,PF_M1_T1_E_eff_inv,
304,HU_Ehu,PF_M1_T2_E_eff_inv,
305,HU_Ehu,PF_M2_T7_E_eff_inv,
306,HU_Ehu,PF_M2_T8_E_eff_inv,
307,HU_Ehu,PF_M2_T5_E_eff_inv,
308,HU_Ehu,PF_M2_T6_E_eff_inv,
309,HU_Force_Lim_Deform,PF_M2_T7_delta_Force_Deform,
310,HU_Force_Lim_Deform,PF_M2_T8_delta_Force_Deform,
311,HU_Force_Lim_Deform,PF_M2_T5_delta_Force_Deform,
312,HU_Force_Lim_Deform,PF_M2_T6_delta_Force_Deform,
313,HU_Ch1_T1_AleakMV,HU_Ch1_AleakChamber,
314,HU_Ch1_T2_AleakPF,HU_Ch1_AleakChamber,
315,HU_Ch1_T2_AleakMV,HU_Ch1_AleakChamber,
316,HU_Ch1_T1_AleakPF,HU_Ch1_AleakChamber,
317,HU_T1_DboreMax,PF_M1_T1_deltaD_min,
318,HU_T1_DboreMin,PF_M1_T1_deltaD_max,
319,HU_T2_DboreMax,PF_M1_T2_deltaD_min,
320,HU_T2_DboreMin,PF_M1_T2_deltaD_max,
321,HU_Ch2_T4_AleakMV,HU_Ch2_AleakChamber,
322,HU_Ch2_T3_AleakMV,HU_Ch2_AleakChamber,
323,HU_Ch2_T3_AleakPF,HU_Ch2_AleakChamber,
324,HU_Ch2_T4_AleakPF,HU_Ch2_AleakChamber,
325,HU_T3_DboreMax,PF_M1_T3_deltaD_min,
326,HU_T3_DboreMin,PF_M1_T3_deltaD_max,
327,HU_T4_DboreMax,PF_M1_T4_deltaD_min,
328,HU_T4_DboreMin,PF_M1_T4_deltaD_max,
329,HU_Ch3_T5_AleakPF,HU_Ch3_AleakChamber,
330,HU_Ch3_T6_AleakPF,HU_Ch3_AleakChamber,
331,HU_Ch3_T6_AleakMV,HU_Ch3_AleakChamber,
332,HU_Ch3_T5_AleakMV,HU_Ch3_AleakChamber,
333,HU_T5_DboreMax,PF_M2_T5_deltaD_min,
334,HU_T5_DboreMin,PF_M2_T5_deltaD_max,
335,HU_T6_DboreMax,PF_M2_T6_deltaD_min,
336,HU_T6_DboreMin,PF_M2_T6_deltaD_max,
337,HU_Ch4_T7_AleakPF,HU_Ch4_AleakChamber,
338,HU_Ch4_T8_AleakPF,HU_Ch4_AleakChamber,
339,HU_Ch4_T8_AleakMV,HU_Ch4_AleakChamber,
340,HU_Ch4_T7_AleakMV,HU_Ch4_AleakChamber,
341,HU_T7_DboreMax,PF_M2_T7_deltaD_min,
342,HU_T7_DboreMin,PF_M2_T7_deltaD_max,
343,HU_T8_DboreMax,PF_M2_T8_deltaD_min,
344,HU_T8_DboreMin,PF_M2_T8_deltaD_max,
345,PF_M1_T3_s0_LTL,PF_M1_T3_s0_LTL_MpGood,
346,PF_M1_T3_s0_LTL_MpGood,PF_M1_T3_s0_MpGood,
347,PF_M1_T3_s0,PF_M1_T3_s0_LTL_MpGood,
348,PF_M1_T3_s0,PF_M1_T3_s0_UTL_MpGood,
349,PF_M1_T3_s0,PF_M1_T3_sgrad,
350,PF_M1_T3_s0_UTL,PF_M1_T3_s0_UTL_MpGood,
351,PF_M1_T3_s0_UTL_MpGood,PF_M1_T3_s0_MpGood,
